Student Number,Gender,Race Ethnicity,Parental Education,Lunch,Test Preparation,Math Score,Reading Score,Writing Score,Science Score,Total Score,Grade
std-2367,Male,group C,some college,1,0,41,81,79,45,246,C
std-2368,Male,group E,high school,0,1,47,66,80,34,227,C
std-2369,Male,group E,some college,1,0,32,80,65,31,208,C
std-2370,Male,group B,bachelor's degree,1,0,39,70,47,44,200,C
std-2371,Male,D,some high school,1,0,13,75,68,88,244,C
std-2372,Male,group D,some college,1,0,48,100,100,77,325,A
std-2373,Male,group C,master's degree,0,0,39,77,68,49,233,C
std-2374,Male,group B,some high school,1,0,100,98,48,80,326,A
std-2375,Male,group C,some college,0,0,49,83,81,35,248,C
std-2376,Male,group E,high school,1,0,75,35,31,63,204,C
std-2377,Male,group A,some high school,0,0,78,84,99,94,355,A
std-2378,Male,group D,high school,1,1,55,100,66,100,321,A
std-2379,Male,group D,some college,0,0,19,75,89,100,283,B
std-2380,Male,group B,some college,1,1,83,73,68,28,252,B
std-2381,Male,group C,associate's degree,0,0,31,100,81,31,243,C
std-2382,Male,group B,bachelor's degree,1,1,13,49,82,29,173,D
std-2383,Male,group D,some high school,1,1,35,79,67,46,227,C
std-2384,Male,group A,bachelor's degree,0,0,32,100,82,90,304,B
std-2385,Male,group D,bachelor's degree,1,0,29,60,61,52,202,C
std-2386,Male,group C,some college,1,1,78,59,53,69,259,B
std-2387,Male,group C,bachelor's degree,0,0,82,70,92,59,303,B
std-2388,Male,group B,high school,1,1,84,71,71,72,298,B
std-2389,Male,group C,some college,0,1,24,93,99,96,312,B
std-2390,Male,group D,bachelor's degree,1,0,43,100,100,72,315,B
std-2391,Male,group C,some college,0,0,51,62,80,82,275,B
std-2392,Male,group C,associate's degree,1,1,30,62,58,29,179,D
std-2393,Male,group B,some high school,1,1,49,58,49,12,168,D
std-2394,Male,group D,associate's degree,0,0,54,84,82,52,272,B
std-2395,Male,group B,some college,1,0,50,69,93,46,258,B
std-2396,Male,group B,some high school,0,0,51,80,42,61,234,C
std-2397,Male,group B,high school,0,0,26,66,71,56,219,C
std-2398,Male,group D,some high school,1,0,30,84,100,61,275,B
std-2399,Male,group D,associate's degree,0,0,50,75,73,78,276,B
std-2400,Male,group C,some college,1,0,32,93,58,48,231,C
std-2401,Male,group E,some high school,1,0,62,87,60,71,280,B
std-2402,Male,group A,master's degree,0,0,35,86,56,98,275,B
std-2403,Male,group C,associate's degree,0,1,26,94,85,76,281,B
std-2404,Male,group E,some high school,1,0,4,41,50,48,143,Fail
std-2405,Male,group B,some high school,0,1,16,74,74,59,223,C
std-2406,Male,group B,some college,0,1,10,89,56,51,206,C
std-2407,Male,group C,master's degree,0,1,68,69,64,59,260,B
std-2408,Male,group B,bachelor's degree,0,0,77,83,35,71,266,B
std-2409,Male,group B,master's degree,1,0,55,31,52,74,212,C
std-2410,Male,group D,some college,0,0,36,56,59,31,182,D
std-2411,Male,group C,associate's degree,1,0,31,78,70,46,225,C
std-2412,Male,group B,high school,1,0,49,80,75,38,242,C
std-2413,Male,group C,associate's degree,1,0,30,42,40,72,184,D
std-2414,Male,group D,associate's degree,0,0,36,78,67,50,231,C
std-2415,Male,group B,high school,1,1,14,100,80,69,263,B
std-2416,Male,group B,some high school,1,1,65,92,89,77,323,A
std-2417,Male,group E,some college,1,0,28,78,54,52,212,C
std-2418,Male,group E,high school,1,1,64,51,51,47,213,C
std-2419,Male,group E,some college,1,1,87,75,41,33,236,C
std-2420,Male,group C,some high school,1,0,43,44,83,56,226,C
std-2421,Male,group D,bachelor's degree,1,0,19,89,10,71,189,D
std-2422,Male,group E,associate's degree,1,0,47,83,87,70,287,B
std-2423,Male,group C,high school,0,0,47,57,60,49,213,C
std-2424,Male,group B,bachelor's degree,0,0,61,42,47,78,228,C
std-2425,Male,group D,some college,0,0,39,80,67,65,251,B
std-2426,Male,group C,some high school,1,0,50,51,89,55,245,C
std-2427,Male,group D,some high school,0,0,21,78,65,74,238,C
std-2428,Male,group B,high school,1,1,74,59,50,61,244,C
std-2429,Male,group C,associate's degree,1,0,8,100,59,66,233,C
std-2430,Male,group E,bachelor's degree,0,0,52,71,85,55,263,B
std-2431,Male,group C,associate's degree,1,0,41,80,76,75,272,B
std-2432,Male,group C,some college,1,0,52,96,59,80,287,B
std-2433,Male,group E,some high school,1,1,67,65,88,45,265,B
std-2434,Male,group D,master's degree,0,0,74,83,79,100,336,A
std-2435,Male,group D,high school,1,0,34,57,91,65,247,C
std-2436,Male,group C,some high school,0,0,73,57,87,89,306,B
std-2437,Male,group C,associate's degree,1,0,40,47,74,71,232,C
std-2438,Male,group B,high school,1,1,70,70,95,64,299,B
std-2439,Male,group C,some college,0,0,89,33,34,32,188,D
std-2440,Male,group E,some high school,1,0,41,79,82,33,235,C
std-2441,Male,group E,some college,1,0,64,78,64,64,270,B
std-2442,Male,group D,bachelor's degree,1,0,15,69,51,72,207,C
std-2443,Male,group A,high school,1,0,37,79,60,57,233,C
std-2444,Male,group D,associate's degree,1,1,39,53,66,64,222,C
std-2445,Male,group E,some college,1,1,75,79,37,89,280,B
std-2446,Male,group E,bachelor's degree,1,0,49,31,32,25,137,Fail
std-2447,Male,group C,associate's degree,0,0,42,44,53,53,192,D
std-2448,Male,group D,high school,1,0,38,93,70,94,295,B
std-2449,Male,group B,some college,0,0,33,87,97,51,268,B
std-2450,Male,group C,high school,0,0,76,79,97,96,348,A
std-2451,Male,group B,bachelor's degree,0,1,41,64,71,100,276,B
std-2452,Male,group C,high school,1,0,84,84,50,47,265,B
std-2453,Male,group C,associate's degree,1,0,92,70,46,50,258,B
std-2454,Male,group B,bachelor's degree,1,0,62,90,53,91,296,B
std-2455,Male,group C,bachelor's degree,0,0,43,74,36,77,230,C
std-2456,Male,group B,high school,0,1,69,61,86,46,262,B
std-2457,Male,group C,high school,1,1,18,59,57,65,199,D
std-2458,Male,group B,some college,1,0,27,60,54,36,177,D
std-2459,Male,group E,associate's degree,1,1,100,62,91,86,339,A
std-2460,Male,group B,high school,0,0,76,73,76,92,317,B
std-2461,Male,group D,associate's degree,1,0,13,63,57,74,207,C
std-2462,Male,group B,some college,0,1,62,92,80,92,326,A
std-2463,Male,group E,some high school,0,1,73,61,56,45,235,C
std-2464,Male,group A,bachelor's degree,1,0,31,80,33,45,189,D
std-2465,Male,group B,some college,1,0,78,89,67,73,307,B
std-2466,Male,group C,master's degree,0,0,9,43,84,52,188,D
std-2467,Male,group C,high school,1,0,75,88,68,74,305,B
std-2468,Male,group D,bachelor's degree,0,1,22,58,48,59,187,D
std-2469,Male,group A,some high school,1,0,14,96,53,54,217,C
std-2470,Male,group C,associate's degree,0,0,25,62,33,46,166,D
std-2471,Male,group C,some high school,0,0,82,77,100,81,340,A
std-2472,Male,group D,some college,0,0,88,72,49,71,280,B
std-2473,Male,group C,some high school,0,0,78,97,74,68,317,B
std-2474,Male,group B,high school,1,0,81,61,49,58,249,C
std-2475,Male,group D,bachelor's degree,1,0,47,56,76,64,243,C
std-2476,Male,group D,some college,1,0,87,62,62,69,280,B
std-2477,Male,group D,some college,1,1,41,74,73,59,247,C
std-2478,Male,group B,associate's degree,1,0,71,80,97,77,325,A
std-2479,Male,group E,associate's degree,0,0,66,93,82,74,315,B
std-2480,Male,group D,some college,1,1,33,89,76,61,259,B
std-2481,Male,group C,associate's degree,1,0,28,45,66,83,222,C
std-2482,Male,group C,bachelor's degree,1,0,48,89,59,64,260,B
std-2483,Male,group E,associate's degree,0,0,72,57,72,89,290,B
std-2484,Male,group E,bachelor's degree,1,1,57,44,45,63,209,C
std-2485,Male,group D,some college,0,0,0,63,36,47,146,Fail
std-2486,Male,group D,associate's degree,0,0,75,100,65,46,286,B
std-2487,Male,group C,associate's degree,0,1,41,79,41,82,243,C
std-2488,Male,group C,some high school,0,1,55,34,75,62,226,C
std-2489,Male,group C,some college,1,1,76,49,54,48,227,C
std-2490,Male,group A,some college,1,1,89,77,79,100,345,A
std-2491,Male,group D,associate's degree,1,1,52,81,100,56,289,B
std-2492,Male,group D,associate's degree,0,1,77,72,40,100,289,B
std-2493,Male,group A,some college,1,1,64,37,58,97,256,B
std-2494,Male,group D,some high school,0,1,72,100,100,86,358,A
std-2495,Male,group B,bachelor's degree,1,0,34,91,67,78,270,B
std-2496,Male,group D,some college,1,0,46,83,54,85,268,B
std-2497,Male,group B,some high school,0,1,31,73,78,56,238,C
std-2498,Male,group D,bachelor's degree,0,0,69,100,72,88,329,A
std-2499,Male,group E,high school,1,0,43,59,40,90,232,C
std-2500,Male,group B,bachelor's degree,1,1,62,97,62,100,321,A
std-2501,Male,group B,master's degree,1,1,50,55,57,57,219,C
std-2502,Male,group D,master's degree,1,0,82,39,74,71,266,B
std-2503,Male,group A,high school,1,1,36,59,40,29,164,D
std-2504,Male,group A,high school,1,0,57,63,89,95,304,B
std-2505,Male,group B,some college,0,0,17,54,66,77,214,C
std-2506,Male,group C,bachelor's degree,1,1,84,78,68,70,300,B
std-2507,Male,group D,high school,1,1,100,36,54,64,254,B
std-2508,Male,group D,some college,1,1,89,83,71,100,343,A
std-2509,Male,group B,associate's degree,0,1,28,59,100,98,285,B
std-2510,Male,group C,master's degree,1,0,85,43,41,75,244,C
std-2511,Male,group D,some college,1,0,53,74,77,70,274,B
std-2512,Male,group A,some high school,0,1,24,63,62,56,205,C
std-2513,Male,group D,associate's degree,0,0,73,100,85,51,309,B
std-2514,Male,group D,associate's degree,0,0,71,92,76,46,285,B
std-2515,Male,group C,associate's degree,1,0,16,98,62,67,243,C
std-2516,Male,group B,bachelor's degree,0,1,35,54,66,47,202,C
std-2517,Male,group C,some college,1,1,67,71,78,64,280,B
std-2518,Male,group D,high school,1,0,32,81,66,59,238,C
std-2519,Male,group E,some college,0,0,11,91,82,76,260,B
std-2520,Male,group E,some high school,1,0,75,83,73,57,288,B
std-2521,Male,group C,some college,0,0,24,64,48,89,225,C
std-2522,Male,group D,some high school,1,1,58,63,56,61,238,C
std-2523,Male,group B,some high school,0,0,80,56,57,65,258,B
std-2524,Male,group D,associate's degree,0,0,43,47,60,65,215,C
std-2525,Male,group E,some college,1,0,50,71,56,91,268,B
std-2526,Male,group C,some college,1,1,89,77,86,33,285,B
std-2527,Male,group E,associate's degree,1,1,38,55,53,59,205,C
std-2528,Male,group C,some college,1,0,56,100,88,58,302,B
std-2529,Male,group C,associate's degree,1,0,28,58,74,82,242,C
std-2530,Male,group B,associate's degree,0,1,70,80,84,68,302,B
std-2531,Male,group B,master's degree,1,1,59,100,71,37,267,B
std-2532,Male,group B,bachelor's degree,0,0,70,51,80,31,232,C
std-2533,Male,group C,bachelor's degree,1,1,67,78,43,78,266,B
std-2534,Male,group D,associate's degree,1,1,40,72,62,56,230,C
std-2535,Male,group C,master's degree,1,1,33,63,95,30,221,C
std-2536,Male,group C,high school,0,1,17,96,69,62,244,C
std-2537,Male,group C,some high school,0,0,71,76,29,99,275,B
std-2538,Male,group D,some high school,1,1,81,66,44,91,282,B
std-2539,Male,group C,associate's degree,0,0,14,78,71,77,240,C
std-2540,Male,group B,some college,1,1,43,57,45,50,195,D
std-2541,Male,group D,some high school,1,1,64,74,80,55,273,B
std-2542,Male,group C,some college,1,0,56,60,60,100,276,B
std-2543,Male,group D,some high school,0,0,17,76,58,69,220,C
std-2544,Male,group C,master's degree,1,0,26,79,68,100,273,B
std-2545,Male,group C,bachelor's degree,1,0,43,48,62,55,208,C
std-2546,Male,group B,some high school,1,0,49,92,87,87,315,B
std-2547,Male,group C,high school,1,0,63,82,80,15,240,C
std-2548,Male,group C,associate's degree,0,0,26,90,92,56,264,B
std-2549,Male,group C,associate's degree,1,0,49,91,75,70,285,B
std-2550,Male,group B,associate's degree,0,1,64,73,32,50,219,C
std-2551,Male,group C,some high school,0,0,58,63,73,71,265,B
std-2552,Male,group A,some college,1,1,93,17,28,56,194,D
std-2553,Male,group D,high school,1,0,19,78,98,84,279,B
std-2554,Male,group D,some high school,1,1,71,80,82,51,284,B
std-2555,Male,group B,some college,0,1,49,33,47,50,179,D
std-2556,Male,group B,associate's degree,1,0,10,81,61,30,182,D
std-2557,Male,group D,associate's degree,0,0,50,95,10,36,191,D
std-2558,Male,group D,high school,0,1,40,68,59,72,239,C
std-2559,Male,group E,some college,0,1,15,75,71,47,208,C
std-2560,Male,group B,bachelor's degree,0,1,12,51,54,15,132,Fail
std-2561,Male,group A,some college,1,1,37,81,61,93,272,B
std-2562,Male,group E,some college,1,1,100,60,86,65,311,B
std-2563,Male,group C,some college,0,0,67,41,73,36,217,C
std-2564,Male,group E,some high school,0,1,48,54,82,36,220,C
std-2565,Male,group D,some high school,1,0,70,59,64,55,248,C
std-2566,Male,group C,high school,0,0,41,56,76,37,210,C
std-2567,Male,group C,associate's degree,1,1,48,81,40,97,266,B
std-2568,Male,group C,bachelor's degree,1,1,36,63,59,96,254,B
std-2569,Male,group D,bachelor's degree,0,0,100,85,52,55,292,B
std-2570,Male,group C,bachelor's degree,0,0,38,86,91,59,274,B
std-2571,Male,group B,master's degree,1,1,42,52,49,72,215,C
std-2572,Male,group D,associate's degree,1,0,81,59,70,45,255,B
std-2573,Male,group B,master's degree,1,0,70,89,67,79,305,B
std-2574,Male,group E,some high school,0,0,45,81,57,87,270,B
std-2575,Male,group D,high school,0,0,58,64,68,46,236,C
std-2576,Male,group D,high school,0,1,40,64,65,34,203,C
std-2577,Male,group B,high school,0,0,33,47,47,36,163,D
std-2578,Male,group C,some high school,1,0,76,63,73,92,304,B
std-2579,Male,group B,bachelor's degree,1,0,55,92,54,89,290,B
std-2580,Male,group C,associate's degree,0,0,28,66,78,95,267,B
std-2581,Male,group C,some high school,0,0,69,84,61,97,311,B
std-2582,Male,group D,some college,1,0,21,42,67,25,155,D
std-2583,Male,group A,some college,0,0,84,64,59,65,272,B
std-2584,Male,group D,some college,0,1,70,94,98,60,322,A
std-2585,Male,group B,associate's degree,1,1,54,70,84,100,308,B
std-2586,Male,group D,high school,0,0,69,63,99,52,283,B
std-2587,Male,group B,some high school,1,1,49,94,77,67,287,B
std-2588,Male,group C,some high school,0,0,81,66,79,86,312,B
std-2589,Male,group B,bachelor's degree,1,0,66,68,81,82,297,B
std-2590,Male,group C,associate's degree,0,1,30,58,56,75,219,C
std-2591,Male,group D,associate's degree,1,0,46,79,68,97,290,B
std-2592,Male,group D,some college,0,0,50,34,37,68,189,D
std-2593,Male,group B,some college,1,1,66,88,97,100,351,A
std-2594,Male,group C,high school,1,0,13,50,50,71,184,D
std-2595,Male,group B,some college,1,1,58,34,66,72,230,C
std-2596,Male,group C,associate's degree,1,0,42,45,40,45,172,D
std-2597,Male,group C,bachelor's degree,1,0,33,91,39,44,207,C
std-2598,Male,group C,associate's degree,0,1,99,75,44,60,278,B
std-2599,Male,group D,bachelor's degree,1,1,49,90,56,81,276,B
std-2600,Male,group A,some college,0,0,79,81,46,48,254,B
std-2601,Male,group D,some high school,0,0,61,58,61,41,221,C
std-2602,Male,group D,some college,0,1,76,97,35,75,283,B
std-2603,Male,group E,some high school,1,1,73,86,80,61,300,B
std-2604,Male,group C,master's degree,1,0,0,66,48,90,204,C
std-2605,Male,group E,associate's degree,1,1,28,60,100,54,242,C
std-2606,Male,group B,some high school,1,1,47,95,52,51,245,C
std-2607,Male,group D,high school,1,0,61,89,72,85,307,B
std-2608,Male,group B,associate's degree,1,0,59,44,45,62,210,C
std-2609,Male,group A,master's degree,1,1,62,39,74,68,243,C
std-2610,Male,group C,some college,1,0,46,85,43,70,244,C
std-2611,Male,group C,high school,1,1,28,75,56,59,218,C
std-2612,Male,group B,high school,0,0,20,58,95,55,228,C
std-2613,Male,group A,some college,0,1,39,100,82,39,260,B
std-2614,Male,group D,some college,1,0,71,66,91,12,240,C
std-2615,Male,group C,some high school,1,0,12,85,79,59,235,C
std-2616,Male,group D,bachelor's degree,1,0,54,83,72,53,262,B
std-2617,Male,group C,some high school,1,0,18,64,34,100,216,C
std-2618,Male,group C,some high school,0,0,73,86,84,78,321,A
std-2619,Male,group C,some high school,1,0,27,70,65,96,258,B
std-2620,Male,group D,high school,0,1,33,68,75,37,213,C
std-2621,Male,group E,master's degree,0,0,70,77,32,91,270,B
std-2622,Male,group B,high school,0,1,15,52,81,56,204,C
std-2623,Male,group C,some high school,0,1,58,56,52,40,206,C
std-2624,Male,group D,bachelor's degree,1,0,34,80,55,88,257,B
std-2625,Male,group A,high school,1,0,30,17,97,43,187,D
std-2626,Male,group D,associate's degree,1,0,68,94,74,87,323,A
std-2627,Male,group C,high school,0,1,74,46,72,76,268,B
std-2628,Male,group C,bachelor's degree,0,0,25,40,72,72,209,C
std-2629,Male,group B,bachelor's degree,0,0,37,63,80,70,250,B
std-2630,Male,group B,high school,1,0,97,74,88,81,340,A
std-2631,Male,group C,some college,1,1,31,88,47,70,236,C
std-2632,Male,group D,high school,0,1,88,88,38,22,236,C
std-2633,Male,group C,master's degree,0,0,10,72,58,91,231,C
std-2634,Male,group D,associate's degree,1,1,20,75,62,44,201,C
std-2635,Male,group D,high school,0,0,54,83,53,65,255,B
std-2636,Male,group C,high school,1,1,68,100,100,90,358,A
std-2637,Male,group C,associate's degree,1,0,58,57,80,71,266,B
std-2638,Male,group D,some college,1,0,23,90,85,31,229,C
std-2639,Male,group D,some college,1,1,65,69,78,65,277,B
std-2640,Male,group D,some college,1,1,51,76,100,44,271,B
std-2641,Male,group E,high school,0,0,25,96,48,80,249,C
std-2642,Male,group E,high school,1,0,49,58,77,89,273,B
std-2643,Male,group E,some high school,0,0,70,77,69,44,260,B
std-2644,Male,group D,some college,1,0,53,93,60,82,288,B
std-2645,Male,group D,some college,0,0,10,39,39,62,150,D
std-2646,Male,group E,high school,0,0,74,57,70,86,287,B
std-2647,Male,group D,some college,0,1,82,89,93,41,305,B
std-2648,Male,group D,master's degree,1,0,73,61,34,100,268,B
std-2649,Male,group D,bachelor's degree,0,1,40,84,61,52,237,C
std-2650,Male,group C,bachelor's degree,1,0,100,58,80,52,290,B
std-2651,Male,group B,some college,0,1,72,50,59,81,262,B
std-2652,Male,group C,bachelor's degree,1,0,49,76,34,76,235,C
std-2653,Male,group B,bachelor's degree,1,0,83,62,91,40,276,B
std-2654,Male,group E,bachelor's degree,0,1,67,65,68,48,248,C
std-2655,Male,group C,high school,0,0,49,96,83,70,298,B
std-2656,Male,group D,some high school,1,0,38,30,53,51,172,D
std-2657,Male,group E,associate's degree,0,0,35,64,89,17,205,C
std-2658,Male,group A,high school,0,0,37,62,55,69,223,C
std-2659,Male,group D,some college,0,0,10,75,51,52,188,D
std-2660,Male,group D,high school,1,1,49,53,58,57,217,C
std-2661,Male,group C,high school,1,1,41,91,73,38,243,C
std-2662,Male,group D,bachelor's degree,1,1,42,53,72,63,230,C
std-2663,Male,group D,associate's degree,1,1,61,67,96,82,306,B
std-2664,Male,group C,some high school,1,0,47,82,54,26,209,C
std-2665,Male,group D,bachelor's degree,1,1,63,62,100,74,299,B
std-2666,Male,group D,associate's degree,0,0,32,81,69,97,279,B
std-2667,Male,group D,high school,1,0,81,71,100,85,337,A
std-2668,Male,group B,some college,0,1,62,70,98,68,298,B
std-2669,Male,group D,some high school,1,1,46,53,55,89,243,C
std-2670,Male,group C,associate's degree,1,1,61,80,36,27,204,C
std-2671,Male,group C,some high school,1,1,45,100,52,36,233,C
std-2672,Male,group D,high school,0,1,26,68,53,43,190,D
std-2673,Male,group D,associate's degree,1,0,69,86,56,47,258,B
std-2674,Male,group D,master's degree,0,0,67,35,36,44,182,D
std-2675,Male,group E,high school,1,1,85,77,82,91,335,A
std-2676,Male,group B,some high school,1,1,70,78,49,76,273,B
std-2677,Male,group C,high school,0,1,73,65,82,83,303,B
std-2678,Male,group D,some college,1,0,19,78,88,36,221,C
std-2679,Male,group E,associate's degree,1,1,50,74,62,38,224,C
std-2680,Male,group E,high school,1,0,23,100,84,70,277,B
std-2681,Male,group C,high school,0,0,77,75,73,55,280,B
std-2682,Male,group C,high school,1,0,55,81,73,82,291,B
std-2683,Male,group C,high school,0,1,37,40,36,42,155,D
std-2684,Male,group B,some college,1,0,32,77,49,56,214,C
std-2685,Male,group D,some college,1,0,55,80,78,89,302,B
std-2686,Male,group B,bachelor's degree,1,0,67,17,82,65,231,C
std-2687,Male,group C,high school,1,1,38,37,51,78,204,C
std-2688,Male,group D,master's degree,0,1,70,76,78,32,256,B
std-2689,Male,group D,associate's degree,1,0,23,62,64,32,181,D
std-2690,Male,group C,some high school,0,0,53,95,71,73,292,B
std-2691,Male,group D,some college,1,0,28,55,60,62,205,C
std-2692,Male,group E,associate's degree,0,0,22,59,55,77,213,C
std-2693,Male,group E,high school,0,0,52,57,78,49,236,C
std-2694,Male,group E,high school,1,1,28,76,51,67,222,C
std-2695,Male,group D,high school,1,0,76,50,67,64,257,B
std-2696,Male,group D,high school,1,1,69,79,100,58,306,B
std-2697,Male,group A,some college,1,0,43,100,31,63,237,C
std-2698,Male,group D,high school,1,0,58,59,66,30,213,C
std-2699,Male,group D,some high school,0,1,64,75,70,54,263,B
std-2700,Male,group C,associate's degree,1,0,80,46,67,54,247,C
std-2701,Male,group B,high school,0,1,47,70,74,58,249,C
std-2702,Male,group B,high school,1,0,46,87,54,56,243,C
std-2703,Male,group B,some high school,0,0,42,96,85,57,280,B
std-2704,Male,group C,some college,0,0,60,81,37,68,246,C
std-2705,Male,group D,high school,0,0,31,69,61,36,197,D
std-2706,Male,group B,bachelor's degree,1,0,66,64,84,45,259,B
std-2707,Male,group E,some college,1,1,43,100,92,36,271,B
std-2708,Male,group C,bachelor's degree,1,1,74,100,100,76,350,A
std-2709,Male,group B,some college,1,1,95,98,93,91,377,A
std-2710,Male,group B,some high school,1,1,0,100,51,76,227,C
std-2711,Male,group C,high school,1,0,25,56,53,91,225,C
std-2712,Male,group D,master's degree,1,0,36,56,70,66,228,C
std-2713,Male,group D,high school,1,1,44,46,71,69,230,C
std-2714,Male,group B,bachelor's degree,1,1,40,93,67,59,259,B
std-2715,Male,group D,some college,1,1,40,51,36,84,211,C
std-2716,Male,group C,some college,0,0,74,52,70,49,245,C
std-2717,Male,group B,high school,0,0,69,49,70,53,241,C
std-2718,Male,group B,bachelor's degree,0,0,66,66,75,12,219,C
std-2719,Male,group E,high school,1,0,94,65,65,53,277,B
std-2720,Male,group E,bachelor's degree,1,1,56,71,66,88,281,B
std-2721,Male,group A,high school,1,0,13,77,88,41,219,C
std-2722,Male,group C,some college,0,0,37,64,78,34,213,C
std-2723,Male,group A,some high school,1,0,10,100,87,75,272,B
std-2724,Male,group E,associate's degree,1,0,77,85,58,83,303,B
std-2725,Male,group D,master's degree,0,1,89,99,67,78,333,A
std-2726,Male,group D,associate's degree,0,0,48,49,78,72,247,C
std-2727,Male,group D,bachelor's degree,1,0,49,65,81,71,266,B
std-2728,Male,group C,associate's degree,1,0,100,97,88,51,336,A
std-2729,Male,group C,master's degree,1,0,74,75,96,100,345,A
std-2730,Male,group B,some high school,0,1,37,76,71,64,248,C
std-2731,Male,group D,high school,1,0,46,95,33,83,257,B
std-2732,Male,group B,some high school,1,0,46,60,74,68,248,C
std-2733,Male,group E,some high school,1,1,24,85,52,98,259,B
std-2734,Male,group E,master's degree,1,0,57,36,90,52,235,C
std-2735,Male,group E,some college,1,1,49,62,42,92,245,C
std-2736,Male,group D,associate's degree,0,0,58,66,100,9,233,C
std-2737,Male,group A,some high school,0,1,12,59,72,49,192,D
std-2738,Male,group B,some college,0,0,24,50,90,76,240,C
std-2739,Male,group D,bachelor's degree,0,1,43,61,49,74,227,C
std-2740,Male,group C,associate's degree,0,1,53,91,59,73,276,B
std-2741,Male,group E,some college,1,0,57,62,89,35,243,C
std-2742,Male,group C,some college,1,0,30,38,52,24,144,Fail
std-2743,Male,group D,associate's degree,1,0,74,100,75,93,342,A
std-2744,Male,group B,associate's degree,0,0,58,76,91,55,280,B
std-2745,Male,group D,bachelor's degree,0,1,93,71,74,89,327,A
std-2746,Male,group A,high school,1,0,26,91,55,79,251,B
std-2747,Male,group E,some college,1,1,100,27,70,52,249,C
std-2748,Male,group C,some college,1,0,72,83,67,48,270,B
std-2749,Male,group B,some college,1,0,58,66,41,60,225,C
std-2750,Male,group E,some high school,0,0,0,73,55,88,216,C
std-2751,Male,group B,high school,1,0,39,79,80,90,288,B
std-2752,Male,group D,associate's degree,1,0,30,100,70,36,236,C
std-2753,Male,group C,associate's degree,1,1,18,100,100,81,299,B
std-2754,Male,group D,some high school,1,1,38,76,72,47,233,C
std-2755,Male,group B,some high school,1,1,44,84,78,35,241,C
std-2756,Male,group E,some college,1,0,19,69,60,78,226,C
std-2757,Male,group B,some college,1,1,64,82,88,82,316,B
std-2758,Male,group E,bachelor's degree,0,0,54,90,85,60,289,B
std-2759,Male,group D,associate's degree,1,0,61,71,72,37,241,C
std-2760,Male,group B,some college,1,0,70,70,57,58,255,B
std-2761,Male,group C,associate's degree,0,1,61,91,44,78,274,B
std-2762,Male,group C,high school,1,0,34,59,77,87,257,B
std-2763,Male,group E,associate's degree,1,1,44,93,49,49,235,C
std-2764,Male,group C,some high school,1,0,33,60,52,84,229,C
std-2765,Male,group B,associate's degree,0,0,59,64,46,64,233,C
std-2766,Male,group A,bachelor's degree,0,0,22,68,67,78,235,C
std-2767,Male,group B,some college,0,0,66,67,54,38,225,C
std-2768,Male,group B,master's degree,0,1,54,53,55,82,244,C
std-2769,Male,group C,high school,1,0,61,72,74,94,301,B
std-2770,Male,group D,some college,1,0,37,66,100,73,276,B
std-2771,Male,group B,associate's degree,0,0,31,91,70,99,291,B
std-2772,Male,group D,master's degree,1,1,30,80,59,69,238,C
std-2773,Male,group D,high school,0,0,36,78,67,62,243,C
std-2774,Male,group C,associate's degree,0,0,39,65,100,44,248,C
std-2775,Male,group E,some college,0,0,34,68,50,55,207,C
std-2776,Male,group B,high school,1,0,31,100,54,53,238,C
std-2777,Male,group E,bachelor's degree,1,1,68,50,52,56,226,C
std-2778,Male,group D,some college,1,0,69,73,29,44,215,C
std-2779,Male,group D,bachelor's degree,1,1,85,76,33,86,280,B
std-2780,Male,group E,some college,0,0,13,75,83,68,239,C
std-2781,Male,group A,some college,0,0,76,80,67,82,305,B
std-2782,Male,group C,high school,1,0,99,49,66,28,242,C
std-2783,Male,group B,high school,1,1,0,86,68,78,232,C
std-2784,Male,group A,some college,0,0,29,65,30,65,189,D
std-2785,Male,group C,high school,1,1,67,94,48,80,289,B
std-2786,Male,group E,some college,1,1,41,65,65,71,242,C
std-2787,Male,group C,some high school,0,1,100,60,96,91,347,A
std-2788,Male,group D,some high school,1,0,68,87,94,60,309,B
std-2789,Male,group C,high school,0,1,32,26,52,67,177,D
std-2790,Male,group B,some high school,1,1,37,87,75,38,237,C
std-2791,Male,group A,high school,1,0,100,53,87,66,306,B
std-2792,Male,group C,high school,0,0,16,50,81,80,227,C
std-2793,Male,group C,associate's degree,0,1,78,80,51,59,268,B
std-2794,Male,group C,associate's degree,0,0,56,100,68,64,288,B
std-2795,Male,group D,some college,1,1,42,75,64,83,264,B
std-2796,Male,group D,bachelor's degree,1,0,42,52,50,46,190,D
std-2797,Male,group D,high school,1,0,31,32,74,61,198,D
std-2798,Male,group D,associate's degree,1,0,28,30,77,73,208,C
std-2799,Male,group C,some high school,1,1,72,100,100,67,339,A
std-2800,Male,group D,some high school,0,1,18,86,49,70,223,C
std-2801,Male,group C,bachelor's degree,1,1,49,100,57,77,283,B
std-2802,Male,group D,high school,1,0,29,56,74,59,218,C
std-2803,Male,group E,some college,0,0,45,61,49,88,243,C
std-2804,Male,group C,bachelor's degree,0,0,47,74,70,32,223,C
std-2805,Male,group A,some college,1,0,62,98,54,59,273,B
std-2806,Male,group D,associate's degree,1,1,33,17,83,27,160,D
std-2807,Male,group E,some high school,0,1,74,87,79,58,298,B
